"Region, subregion, country or area *",Country code,Type,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Japan,392,Country/Area,82802.08,84316.27,85659.44,86869.98,87980.57,89018.26,90004.18,90953.81,91877.64,92782.24,93673.61,94560.71,95458.52,96389.42,97379.40,98447.01,99596.08,100822.28,102124.00,103496.03,104929.26,106427.10,107976.03,109528.51,111022.69,112413.36,113679.19,114827.83,115879.22,116867.36,117816.94,118732.84,119605.25,120427.64,121189.27,121883.48,122509.12,123072.72,123584.52,124058.52,124505.24,124929.76,125331.30,125707.41,126053.13,126365.49,126644.10,126892.75,127117.44,127326.06,127524.17,127713.82,127893.08,128058.37,128204.18,128326.12,128422.74,128494.05,128538.64,128555.20,128542.35,128498.97,128423.57,128314.19,128168.63,127985.14,127763.27,127502.73,127202.19,126860.30,126476.46
Ethiopia,231,Country/Area,18128.03,18466.97,18819.70,19184.29,19560.01,19947.29,20347.81,20764.45,21201.03,21661.99,22151.28,22671.19,23221.39,23798.42,24397.01,25013.63,25641.04,26280.14,26944.39,27652.72,28415.08,29248.65,30140.80,31036.67,31861.35,32566.86,33128.15,33577.24,33993.30,34487.81,35141.70,35984.53,36995.25,38142.68,39374.35,40652.15,41965.70,43329.24,44757.21,46272.31,47887.86,49609.98,51423.59,53295.56,55180.99,57047.91,58883.53,60697.44,62507.72,64343.01,66224.81,68159.42,70142.09,72170.58,74239.51,76346.31,78489.21,80674.34,82916.24,85233.92,87639.96,90139.93,92726.98,95385.79,98094.26,100835.45,103603.46,106399.93,109224.41,112078.73,114963.58
Philippines,608,Country/Area,18580.48,19246.60,19945.27,20669.61,21414.58,22177.06,22955.91,23751.87,24567.27,25405.53,26269.74,27161.05,28077.35,29012.63,29958.69,30910.00,31864.18,32823.97,33795.20,34786.31,35803.59,36849.68,37923.40,39022.76,40144.25,41285.74,42446.66,43629.42,44838.49,46079.84,47357.74,48672.83,50023.56,51408.91,52827.05,54275.84,55755.35,57263.84,58795.00,60340.77,61895.17,63454.79,65020.12,66593.90,68180.85,69784.09,71401.74,73030.88,74672.01,76325.93,77991.76,79672.87,81365.26,83051.97,84710.54,86326.25,87888.68,89405.48,90901.97,92414.16,93966.78,95570.05,97212.64,98871.56,100513.14,102113.21,103663.81,105172.92,106651.39,108116.62,109581.09
Egypt,818,Country/Area,20451.99,20948.60,21473.79,22028.13,22611.50,23223.13,23861.51,24524.53,25209.46,25913.23,26632.89,27366.24,28112.26,28871.38,29644.88,30433.02,31237.60,32056.51,32881.85,33703.13,34513.85,35311.91,36102.67,36896.55,37708.14,38549.13,39422.73,40329.59,41275.73,42267.43,43309.06,44400.11,45539.30,46728.28,47968.64,49258.73,50602.36,51991.70,53399.24,54788.68,56134.48,57424.55,58666.81,59880.66,61095.80,62334.03,63601.63,64892.27,66200.26,67515.59,68831.56,70152.66,71485.04,72826.10,74172.07,75523.58,76873.67,78232.12,79636.08,81134.79,82761.24,84529.25,86422.24,88404.65,90424.67,92442.55,94447.07,96442.59,98423.60,100388.08,102334.40
Viet Nam,704,Country/Area,24809.91,25364.52,25976.85,26646.08,27370.47,28147.44,28973.44,29844.05,30754.09,31697.90,32670.05,33666.11,34683.41,35721.21,36780.00,37858.95,38958.05,40072.95,41193.59,42307.15,43404.80,44484.03,45548.48,46603.52,47657.55,48718.19,49785.28,50861.17,51959.02,53095.41,54281.84,55522.80,56814.31,58148.38,59512.62,60896.73,62293.86,63701.97,65120.43,66550.23,67988.86,69436.96,70883.49,72300.31,73651.22,74910.46,76068.74,77133.21,78115.71,79035.87,79910.41,80742.50,81534.41,82301.65,83062.82,83832.66,84617.55,85419.59,86243.42,87092.25,87967.66,88871.38,89801.93,90752.59,91713.85,92677.08,93640.44,94600.64,95545.96,96462.11,97338.58
Democratic Republic of the Congo,180,Country/Area,12183.66,12428.91,12681.01,12944.45,13222.53,13517.52,13830.43,14161.22,14508.92,14871.79,15248.26,15637.70,16041.19,16461.83,16903.83,17369.88,17862.05,18378.62,18913.87,19459.82,20011.03,20564.06,21121.36,21690.45,22282.13,22903.59,23560.47,24249.13,24956.39,25663.60,26358.91,27040.33,27717.29,28403.86,29119.66,29881.22,30683.88,31528.70,32443.78,33464.77,34612.02,35908.24,37333.92,38815.84,40252.97,41576.24,42757.24,43827.19,44849.97,45919.62,47105.83,48428.53,49871.67,51425.58,53068.87,54785.89,56578.05,58453.69,60411.20,62448.57,64563.85,66755.15,69020.75,71358.80,73767.45,76244.53,78789.13,81398.77,84068.09,86790.57,89561.40
Turkey,792,Country/Area,21408.40,21951.20,22508.95,23081.59,23668.91,24270.60,24886.13,25514.83,26155.93,26808.63,27472.34,28146.91,28832.83,29531.36,30244.26,30973.00,31717.50,32477.99,33256.47,34055.39,34876.30,35720.60,36587.27,37472.33,38370.28,39277.25,40189.56,41108.29,42039.98,42994.04,43975.97,44988.41,46025.41,47073.47,48114.16,49133.93,50128.55,51100.93,52053.76,52992.48,53921.76,54840.60,55748.95,56653.81,57564.21,58486.45,59423.28,60372.57,61329.67,62287.39,63240.20,64192.24,65145.36,66089.40,67010.93,67903.46,68756.81,69581.85,70418.61,71321.41,72326.99,73443.25,74651.05,75925.45,77229.26,78529.41,79827.87,81116.45,82340.09,83429.61,84339.07
Iran (Islamic Republic of),364,Country/Area,17119.26,17516.67,17933.50,18369.05,18822.75,19294.14,19782.82,20288.54,20811.14,21350.57,21906.91,22480.37,23071.31,23680.25,24307.86,24954.87,25624.38,26317.78,27032.58,27764.93,28513.87,29281.58,30075.30,30905.72,31786.48,32729.77,33733.98,34803.04,35960.81,37237.15,38650.24,40199.91,41869.23,43636.84,45472.79,47347.20,49260.26,51193.78,53077.31,54822.01,56366.21,57679.03,58780.38,59723.76,60590.61,61442.66,62294.92,63136.31,63971.84,64800.88,65623.40,66449.11,67284.80,68122.95,68951.28,69762.35,70554.76,71336.48,72120.61,72924.83,73762.52,74634.96,75539.88,76481.96,77465.77,78492.21,79563.99,80673.89,81800.20,82913.89,83992.95
Germany,276,Country/Area,69966.25,70300.01,70620.28,70929.84,71233.39,71537.45,71850.65,72183.45,72547.58,72954.89,73414.23,73928.08,74489.45,75080.75,75677.31,76258.03,76819.57,77357.25,77847.18,78260.76,78578.38,78789.93,78901.83,78932.46,78909.81,78856.03,78781.74,78687.32,78573.59,78438.17,78283.10,78107.86,77926.02,77770.21,77682.29,77691.59,77806.14,78015.74,78307.53,78660.30,79053.98,79490.83,79963.17,80428.56,80832.93,81138.65,81323.67,81399.25,81402.67,81389.94,81400.88,81453.89,81535.12,81614.37,81646.47,81602.74,81472.24,81277.84,81065.75,80899.96,80827.00,80855.63,80972.63,81174.37,81450.37,81787.41,82193.77,82658.41,83124.41,83517.05,83783.95
Thailand,764,Country/Area,20710.35,21263.46,21838.30,22436.80,23060.60,23711.12,24389.55,25096.80,25833.57,26600.32,27397.21,28224.19,29080.95,29966.87,30881.14,31822.66,32789.13,33778.80,34791.42,35827.09,36884.53,37963.28,39058.59,40159.58,41252.32,42326.31,43377.27,44405.90,45413.08,46401.75,47374.46,48326.27,49255.89,50173.92,51094.87,52026.90,52980.11,53945.87,54891.52,55772.17,56558.20,57232.47,57811.03,58337.77,58875.28,59467.27,60130.19,60846.59,61585.10,62298.57,62952.64,63539.19,64069.09,64549.87,64995.30,65416.19,65812.54,66182.06,66530.98,66866.83,67195.03,67518.38,67835.97,68144.52,68438.75,68714.52,68971.31,69209.82,69428.45,69625.58,69799.98
