"Region, subregion, country or area *",Country code,Type,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Uganda,800,Country/Area,5158.19,5307.72,5452.86,5596.32,5740.77,5888.79,6042.93,6205.62,6379.22,6565.84,6767.09,6983.82,7215.80,7461.64,7719.11,7986.06,8263.43,8550.44,8841.16,9127.86,9405.61,9671.86,9929.64,10186.45,10453.03,10737.40,11042.98,11368.62,11712.54,12071.14,12442.33,12825.08,13221.99,13638.73,14082.87,14559.36,15070.32,15612.75,16180.13,16763.04,17354.40,17953.53,18561.67,19175.99,19793.54,20413.16,21032.82,21655.39,22290.79,22952.41,23650.16,24388.97,25167.26,25980.55,26821.30,27684.59,28571.48,29486.34,30431.73,31411.10,32428.16,33476.77,34558.70,35694.52,36911.53,38225.45,39649.17,41166.59,42729.03,44269.59,45741.00
Argentina,32,Country/Area,17037.91,17390.38,17742.98,18094.29,18443.31,18789.42,19132.41,19472.47,19810.17,20146.31,20481.78,20817.27,21153.04,21488.92,21824.43,22159.64,22494.03,22828.87,23168.27,23517.61,23880.56,24259.56,24653.17,25056.48,25462.31,25865.78,26264.68,26661.40,27061.04,27471.05,27896.53,28338.51,28794.55,29262.05,29737.10,30216.28,30698.96,31184.41,31668.94,32148.14,32618.65,33079.00,33529.32,33970.10,34402.67,34828.17,35246.38,35657.44,36063.45,36467.22,36870.80,37275.64,37681.74,38087.87,38491.97,38892.92,39289.88,39684.30,40080.16,40482.79,40895.75,41320.50,41755.19,42196.03,42637.51,43075.42,43508.46,43937.14,44361.15,44780.68,45195.78
Algeria,12,Country/Area,8872.25,9023.26,9186.15,9364.38,9560.15,9774.28,10006.15,10253.78,10514.08,10783.23,11057.86,11336.34,11619.83,11912.80,12221.68,12550.88,12902.63,13275.02,13663.58,14061.72,14464.99,14872.25,15285.99,15709.83,16149.02,16607.71,17085.80,17582.90,18102.27,18647.80,19221.66,19824.30,20452.90,21101.88,21763.58,22431.51,23102.39,23774.29,24443.47,25106.19,25758.87,26400.47,27028.33,27635.52,28213.78,28757.79,29266.42,29742.98,30192.75,30623.41,31042.24,31451.51,31855.11,32264.16,32692.15,33149.72,33641.01,34166.98,34730.60,35333.88,35977.45,36661.44,37383.90,38140.14,38923.69,39728.02,40551.40,41389.17,42228.42,43053.05,43851.04
Sudan,729,Country/Area,5733.79,5884.65,6041.33,6204.10,6373.31,6549.29,6732.44,6923.12,7121.74,7328.73,7544.50,7769.48,8004.12,8248.82,8503.99,8770.09,9047.80,9337.66,9639.85,9954.41,10281.70,10621.47,10974.63,11343.92,11732.96,12144.13,12578.40,13034.63,13510.43,14002.30,14507.47,15027.25,15562.13,16107.61,16657.96,17210.18,17757.49,18303.43,18867.56,19476.65,20147.59,20891.44,21696.24,22527.84,23338.47,24094.74,24782.38,25413.91,26015.52,26626.51,27275.02,27971.08,28704.79,29460.52,30214.19,30949.51,31661.82,32360.62,33060.84,33783.78,34545.01,35349.68,36193.78,37072.56,37977.66,38902.95,39847.43,40813.40,41801.53,42813.24,43849.27
Ukraine,804,Country/Area,37297.64,37815.54,38360.08,38915.81,39471.40,40019.48,40557.03,41085.02,41607.89,42132.44,42664.65,43206.35,43752.23,44288.61,44796.96,45264.55,45684.98,46063.22,46411.82,46749.29,47088.86,47435.01,47783.01,48125.83,48452.62,48755.66,49032.73,49287.12,49523.30,49748.00,49965.87,50176.40,50377.07,50568.03,50749.18,50919.28,51077.46,51219.91,51338.39,51422.34,51463.10,51461.27,51415.96,51316.01,51147.77,50903.78,50580.47,50187.28,49746.52,49288.74,48838.06,48401.65,47980.03,47582.46,47217.49,46890.78,46607.40,46366.35,46158.71,45970.94,45792.09,45619.85,45453.81,45286.99,45111.53,44921.64,44713.71,44487.71,44246.16,43993.64,43733.76
Iraq,368,Country/Area,5719.18,5901.51,6065.01,6216.13,6360.44,6502.66,6646.64,6795.40,6951.16,7115.51,7289.75,7475.35,7674.22,7888.91,8122.20,8375.80,8651.16,8947.40,9260.69,9585.59,9917.98,10255.85,10599.66,10950.89,11312.06,11684.58,12068.68,12462.06,12860.68,13259.11,13653.35,14044.12,14432.47,14815.65,15190.40,15555.81,15909.76,16257.07,16612.32,16994.94,17419.11,17889.46,18402.74,18955.09,19539.35,20149.34,20783.07,21439.58,22114.33,22802.06,23497.59,24208.18,24931.92,25644.50,26313.84,26922.28,27448.12,27911.24,28385.74,28973.16,29741.98,30725.31,31890.01,33157.06,34411.95,35572.27,36610.63,37552.79,38433.60,39309.79,40222.50
Afghanistan,4,Country/Area,7752.12,7840.15,7936.00,8039.68,8151.32,8270.99,8398.87,8535.16,8680.10,8833.95,8996.97,9169.41,9351.44,9543.20,9744.77,9956.32,10174.84,10399.94,10637.06,10893.77,11173.65,11475.45,11791.22,12108.96,12412.96,12689.16,12943.09,13171.29,13341.20,13411.06,13356.50,13171.68,12882.52,12537.73,12204.31,11938.20,11736.18,11604.54,11618.01,11868.87,12412.31,13299.02,14485.54,15816.60,17075.73,18110.66,18853.44,19357.13,19737.77,20170.85,20779.96,21606.99,22600.77,23680.87,24726.69,25654.27,26433.06,27100.54,27722.28,28394.81,29185.51,30117.41,31161.38,32269.59,33370.80,34413.60,35383.03,36296.11,37171.92,38041.76,38928.34
Poland,616,Country/Area,24824.01,25283.01,25764.32,26260.48,26764.49,27269.74,27770.04,28259.61,28733.12,29185.90,29614.20,30015.60,30389.35,30736.49,31059.45,31360.90,31641.04,31901.69,32149.54,32393.14,32639.26,32890.39,33147.08,33411.59,33685.79,33970.73,34266.10,34571.23,34885.81,35209.25,35539.72,35878.44,36221.54,36555.78,36863.95,37133.86,37359.52,37544.33,37697.36,37832.57,37960.19,38082.94,38197.59,38301.35,38389.47,38458.64,38509.67,38544.84,38564.19,38567.87,38556.70,38529.59,38488.64,38441.82,38399.55,38368.96,38354.45,38353.34,38356.79,38351.92,38329.78,38286.82,38227.03,38158.04,38091.10,38034.08,37989.22,37953.18,37921.59,37887.77,37846.61
Canada,124,Country/Area,13733.40,14078.45,14445.45,14834.91,15245.42,15673.76,16114.73,16561.26,17004.84,17436.20,17847.40,18233.97,18596.85,18943.24,19284.23,19627.97,19975.70,20324.79,20675.00,21025.26,21374.33,21723.47,22072.19,22415.31,22745.90,23059.27,23354.59,23634.38,23901.72,24161.13,24416.89,24668.16,24916.54,25171.44,25444.89,25744.81,26075.50,26432.89,26806.13,27179.50,27541.32,27888.81,28224.41,28547.96,28860.73,29164.15,29457.82,29742.38,30022.08,30302.51,30588.38,30880.07,31178.26,31488.05,31815.49,32164.31,32536.99,32930.80,33337.64,33746.09,34147.57,34539.16,34922.03,35296.54,35664.34,36026.67,36382.94,36732.09,37074.56,37411.04,37742.16
Morocco,504,Country/Area,8985.99,9243.41,9528.98,9837.08,10162.95,10502.66,10853.17,11212.23,11578.38,11950.75,12328.53,12710.59,13094.89,13478.43,13857.66,14230.16,14595.35,14954.04,15307.27,15656.85,16004.73,16350.88,16696.89,17048.53,17413.15,17796.17,18198.84,18620.09,19059.77,19516.94,19990.01,20479.71,20984.02,21495.09,22002.64,22499.11,22980.33,23447.26,23903.59,24355.62,24807.46,25260.41,25711.41,26155.20,26584.47,26994.26,27383.47,27754.57,28110.45,28455.50,28793.67,29126.32,29454.77,29782.88,30115.20,30455.56,30804.69,31163.67,31536.81,31929.09,32343.38,32781.86,33241.90,33715.71,34192.36,34663.61,35126.27,35581.26,36029.09,36471.77,36910.56
Saudi Arabia,682,Country/Area,3121.34,3198.81,3283.59,3372.84,3464.66,3558.17,3653.51,3751.80,3855.03,3965.80,4086.53,4218.85,4362.79,4516.54,4677.30,4843.63,5015.35,5195.12,5387.82,5599.91,5836.39,6100.63,6392.97,6711.92,7054.53,7419.49,7802.93,8207.70,8646.85,9137.93,9691.47,10311.77,10988.85,11701.13,12418.84,13119.00,13794.17,14445.66,15070.08,15666.29,16233.79,16772.70,17282.69,17763.30,18214.48,18638.79,19033.84,19407.14,19783.30,20194.53,20663.84,21202.65,21805.32,22456.65,23132.69,23816.18,24498.31,25184.59,25888.54,26630.30,27421.47,28267.59,29154.91,30052.06,30916.60,31717.68,32443.44,33101.18,33702.76,34268.53,34813.87
Uzbekistan,860,Country/Area,6264.06,6470.06,6667.89,6864.76,7066.46,7277.34,7500.31,7736.86,7987.25,8250.72,8526.30,8813.62,9113.63,9428.91,9762.82,10116.87,10493.44,10889.50,11294.67,11694.84,12080.31,12446.44,12796.98,13140.80,13491.11,13857.47,14242.77,14643.88,15057.23,15476.93,15898.76,16321.69,16747.43,17177.66,17615.04,18061.28,18515.58,18976.41,19443.89,19918.12,20398.35,20884.86,21375.11,21861.97,22336.20,22791.03,23225.30,23640.49,24036.02,24412.05,24769.96,25108.55,25431.12,25749.11,26077.61,26427.79,26804.07,27204.71,27626.98,28065.47,28515.91,28977.01,29449.42,29932.63,30426.39,30929.56,31441.75,31959.77,32476.23,32981.72,33469.20
Peru,604,Country/Area,7777.45,7976.48,8184.73,8401.37,8625.98,8858.39,9098.83,9347.83,9606.24,9875.02,10155.01,10446.62,10749.46,11062.30,11383.36,11711.40,12045.78,12386.87,12735.49,13092.85,13459.79,13836.37,14221.95,14615.85,15017.06,15424.75,15838.57,16258.32,16683.45,17113.39,17547.61,17985.40,18426.42,18870.99,19319.75,19772.87,20230.39,20691.29,21153.46,21614.19,22071.43,22522.38,22966.82,23408.14,23851.41,24299.17,24753.83,25210.96,25658.07,26078.30,26459.94,26799.29,27100.96,27372.22,27624.23,27866.14,28102.06,28333.05,28562.32,28792.66,29027.68,29264.31,29506.79,29773.99,30090.37,30470.74,30926.04,31444.30,31989.27,32510.46,32971.85
Angola,24,Country/Area,4548.02,4616.55,4713.16,4823.33,4935.96,5043.25,5140.91,5228.01,5306.54,5380.72,5454.94,5531.45,5608.50,5679.41,5735.00,5770.57,5781.31,5774.44,5771.97,5803.68,5890.36,6041.24,6248.97,6497.28,6761.62,7023.99,7279.63,7533.81,7790.77,8058.11,8341.29,8640.48,8952.97,9278.10,9614.76,9961.99,10320.12,10689.25,11068.05,11454.78,11848.39,12248.90,12657.36,13075.04,13503.75,13945.21,14400.72,14871.57,15359.60,15866.87,16395.48,16945.75,17519.42,18121.48,18758.14,19433.60,20149.91,20905.36,21695.64,22514.28,23356.25,24220.66,25107.93,26015.79,26941.77,27884.38,28842.48,29816.77,30809.79,31825.30,32866.27
Malaysia,458,Country/Area,6109.90,6271.23,6449.61,6639.42,6836.64,7038.91,7245.68,7458.02,7678.38,7910.19,8156.34,8417.82,8692.34,8973.79,9253.83,9526.56,9790.08,10046.32,10297.98,10549.40,10804.13,11062.43,11324.28,11592.64,11871.10,12162.19,12468.69,12790.31,13122.83,13460.04,13798.09,14134.06,14471.22,14819.43,15192.30,15598.92,16043.74,16522.00,17022.47,17528.96,18029.82,18519.94,19002.66,19484.90,19977.51,20487.60,21017.62,21562.79,22114.65,22661.29,23194.25,23709.12,24208.39,24698.82,25190.65,25690.62,26201.95,26720.37,27236.00,27735.04,28208.03,28650.96,29068.19,29468.92,29866.61,30270.97,30684.65,31104.66,31528.03,31949.79,32366.00
Mozambique,508,Country/Area,5958.98,6059.45,6165.05,6275.23,6389.68,6508.40,6631.67,6760.11,6894.49,7035.80,7184.87,7342.12,7507.31,7679.47,7857.11,8039.22,8225.92,8417.70,8614.45,8816.06,9022.75,9232.66,9446.24,9668.66,9906.96,10165.22,10443.95,10738.53,11041.21,11341.41,11630.19,11913.09,12189.82,12439.77,12636.12,12764.39,12808.57,12786.35,12758.00,12805.95,12987.29,13328.03,13806.00,14370.95,14948.05,15483.28,15960.45,16397.18,16813.95,17244.18,17711.93,18221.88,18764.15,19331.10,19910.55,20493.93,21080.11,21673.32,22276.60,22894.72,23531.57,24187.50,24862.67,25560.75,26286.19,27042.00,27829.93,28649.01,29496.01,30366.04,31255.44
Ghana,288,Country/Area,5036.15,5140.32,5268.65,5413.37,5568.65,5730.59,5897.35,6069.00,6247.30,6435.16,6635.23,6848.29,7071.97,7300.12,7524.47,7739.46,7941.42,8132.80,8321.77,8520.02,8735.49,8973.25,9229.64,9493.55,9749.10,9985.95,10199.16,10395.45,10590.27,10805.32,11056.11,11348.29,11676.83,12033.56,12405.66,12783.62,13164.84,13552.02,13947.05,14353.41,14773.27,15207.36,15653.35,16106.76,16561.68,17014.06,17462.50,17908.98,18357.16,18812.37,19278.85,19756.93,20246.38,20750.31,21272.33,21814.65,22379.06,22963.95,23563.83,24170.94,24779.61,25387.71,25996.45,26607.64,27224.48,27849.20,28481.95,29121.46,29767.11,30417.86,31072.95
Yemen,887,Country/Area,4661.28,4717.14,4776.18,4837.61,4900.84,4965.57,5031.70,5099.35,5168.87,5240.72,5315.35,5393.03,5473.67,5556.77,5641.60,5727.75,5816.24,5907.87,6001.86,6097.04,6193.38,6290.37,6390.57,6500.81,6630.00,6784.70,6967.94,7178.67,7414.17,7669.70,7941.90,8231.91,8541.61,8869.36,9213.08,9572.17,9941.10,10322.04,10730.86,11189.19,11709.99,12302.13,12954.16,13634.08,14297.62,14913.31,15469.27,15975.68,16450.31,16921.16,17409.07,17918.37,18443.68,18985.00,19540.10,20107.42,20687.65,21282.51,21892.15,22516.46,23154.85,23807.59,24473.18,25147.11,25823.49,26497.88,27168.21,27834.81,28498.68,29161.92,29825.97
Nepal,524,Country/Area,8483.32,8663.60,8834.70,8999.19,9159.32,9316.92,9473.41,9629.87,9786.98,9945.21,10105.06,10267.26,10433.15,10604.62,10783.96,10972.91,11172.53,11382.97,11603.92,11834.66,12074.63,12323.98,12583.14,12852.21,13131.26,13420.37,13719.47,14028.54,14347.65,14676.93,15016.41,15367.23,15729.43,16100.62,16477.49,16858.32,17239.68,17623.70,18020.76,18445.02,18905.48,19405.51,19938.32,20489.97,21040.90,21576.07,22090.35,22584.77,23057.88,23509.97,23941.10,24347.11,24725.63,25080.88,25419.34,25744.50,26066.69,26382.59,26666.58,26883.53,27013.21,27041.22,26989.16,26916.80,26905.98,27015.03,27263.43,27632.68,28095.71,28608.72,29136.81
Venezuela (Bolivarian Republic of),862,Country/Area,5481.98,5726.61,5974.44,6226.29,6482.86,6744.70,7012.18,7285.57,7564.99,7850.42,8141.84,8439.26,8742.78,9052.63,9369.10,9692.28,10022.59,10359.74,10702.28,11048.26,11396.40,11745.95,12097.70,12453.71,12816.95,13189.51,13572.21,13964.38,14364.73,14771.27,15182.62,15597.88,16017.57,16443.13,16876.70,17319.51,17772.00,18232.73,18698.85,19166.47,19632.67,20096.31,20557.69,21016.90,21474.55,21931.09,22385.65,22837.74,23288.57,23739.84,24192.45,24646.47,25100.41,25551.62,25996.59,26432.45,26850.19,27247.60,27635.83,28031.01,28439.94,28887.87,29360.83,29781.05,30042.97,30081.83,29851.25,29402.48,28887.12,28515.83,28435.94
Madagascar,450,Country/Area,4083.55,4168.39,4256.76,4348.72,4444.29,4543.54,4646.58,4753.53,4864.52,4979.75,5099.37,5223.56,5352.50,5486.32,5625.16,5769.22,5918.59,6073.53,6234.47,6401.92,6576.31,6757.85,6946.62,7142.63,7345.77,7556.03,7773.45,7998.16,8230.21,8469.68,8716.55,8971.34,9234.14,9504.28,9780.87,10063.49,10352.12,10647.75,10952.40,11268.65,11598.65,11942.81,12301.34,12675.47,13066.54,13475.40,13902.70,14347.86,14808.79,15282.52,15766.81,16260.93,16765.12,17279.14,17802.99,18336.72,18880.27,19433.52,19996.48,20569.12,21151.64,21743.97,22346.64,22961.26,23589.90,24234.08,24894.37,25570.51,26262.31,26969.31,27691.02
Cameroon,120,Country/Area,4307.02,4383.96,4462.13,4541.79,4623.28,4707.00,4793.39,4883.01,4976.41,5074.20,5176.92,5285.02,5398.73,5518.10,5643.04,5773.54,5909.87,6052.42,6201.41,6357.10,6519.75,6689.66,6867.17,7052.85,7247.28,7451.06,7664.40,7887.57,8121.08,8365.56,8621.41,8888.53,9166.81,9456.50,9757.85,10070.81,10395.48,10731.06,11075.42,11425.81,11780.09,12137.91,12499.50,12864.09,13230.98,13599.98,13970.81,14344.44,14723.77,15112.60,15513.94,15928.91,16357.61,16800.87,17259.32,17733.41,18223.68,18730.28,19252.67,19789.92,20341.24,20906.39,21485.27,22077.30,22681.85,23298.38,23926.55,24566.07,25216.26,25876.39,26545.86
Côte d'Ivoire,384,Country/Area,2630.13,2690.63,2761.08,2838.19,2919.71,3004.42,3092.20,3183.96,3281.51,3387.29,3503.56,3631.55,3770.76,3918.63,4071.41,4226.84,4383.72,4544.17,4713.13,4897.47,5102.07,5328.74,5576.03,5841.51,6121.30,6412.41,6713.95,7026.50,7350.27,7685.93,8033.65,8393.69,8764.99,9144.94,9530.10,9918.20,10307.27,10698.19,11094.74,11502.45,11924.87,12362.40,12812.43,13271.64,13735.44,14199.76,14665.13,15130.67,15589.41,16032.57,16454.66,16853.03,17231.54,17599.61,17970.49,18354.51,18754.91,19171.25,19605.57,20059.15,20532.94,21028.65,21547.19,22087.51,22647.67,23226.15,23822.73,24437.48,25069.23,25716.55,26378.28
Dem. People's Republic of Korea,408,Country/Area,10549.47,10248.50,10049.02,9957.24,9972.43,10087.00,10285.94,10547.39,10843.98,11145.15,11424.19,11665.59,11871.73,12065.47,12282.42,12547.52,12864.95,13222.70,13609.98,14010.34,14410.39,14809.52,15207.77,15593.35,15952.08,16274.74,16554.74,16796.57,17015.98,17235.67,17472.14,17731.23,18008.57,18298.21,18590.14,18877.23,19156.79,19431.99,19708.32,19993.76,20293.06,20609.15,20937.41,21265.83,21577.98,21862.30,22113.43,22335.26,22536.75,22731.47,22929.08,23132.98,23339.45,23542.43,23732.74,23904.17,24054.87,24188.33,24310.14,24428.34,24548.84,24673.39,24800.64,24929.50,25057.79,25183.83,25307.67,25429.82,25549.61,25666.16,25778.82
Australia,36,Country/Area,8177.35,8398.22,8595.06,8782.18,8970.12,9165.70,9371.78,9587.46,9808.60,10028.80,10242.07,10445.84,10643.42,10845.18,11065.42,11313.19,11593.40,11899.64,12215.70,12518.93,12793.03,13033.13,13244.16,13431.79,13605.57,13773.29,13935.72,14092.55,14249.40,14413.00,14588.40,14777.24,14979.20,15194.64,15423.16,15663.67,15917.58,16183.16,16452.26,16713.99,16960.60,17189.24,17402.18,17603.21,17798.53,17993.08,18189.27,18387.21,18587.03,18788.19,18991.43,19194.68,19401.37,19624.16,19879.65,20178.54,20526.30,20916.34,21332.29,21750.85,22154.69,22538.00,22903.95,23254.91,23596.43,23932.50,24262.71,24584.62,24898.15,25203.20,25499.88
Niger,562,Country/Area,2559.71,2638.13,2716.82,2795.80,2875.27,2955.54,3037.05,3120.42,3206.34,3295.57,3388.77,3486.32,3588.23,3693.99,3802.80,3914.12,4027.97,4144.59,4263.93,4385.93,4510.65,4637.98,4768.23,4902.15,5040.80,5184.94,5335.08,5491.16,5652.66,5818.76,5989.00,6163.71,6343.53,6528.65,6719.31,6915.99,7118.89,7328.93,7548.43,7780.24,8026.59,8288.74,8566.77,8860.30,9168.32,9490.29,9826.60,10178.20,10545.72,10929.92,11331.56,11751.36,12189.99,12647.98,13125.91,13624.47,14143.97,14685.40,15250.91,15843.13,16464.03,17114.77,17795.21,18504.29,19240.18,20001.66,20788.79,21602.39,22442.83,23310.72,24206.64
"China, Taiwan Province of China",158,Country/Area,7602.36,7930.65,8250.80,8565.44,8877.42,9189.97,9506.26,9829.71,10163.80,10511.79,10876.15,11257.77,11655.38,12065.31,12482.18,12901.15,13322.04,13743.22,14156.75,14552.76,14924.46,15268.16,15586.15,15885.23,16175.60,16464.93,16754.74,17043.40,17331.48,17618.94,17905.46,18191.73,18477.50,18760.24,19036.46,19303.40,19560.16,19806.74,20042.36,20266.42,20478.52,20679.07,20868.15,21044.70,21207.42,21356.03,21488.99,21608.31,21721.51,21838.64,21966.53,22108.72,22262.30,22419.79,22570.23,22705.72,22823.85,22927.22,23019.04,23104.54,23187.56,23268.76,23346.90,23421.58,23491.98,23557.47,23618.20,23674.55,23726.46,23773.88,23816.78
Sri Lanka,144,Country/Area,7971.10,8108.43,8256.56,8417.11,8591.02,8778.44,8978.77,9190.65,9412.14,9640.82,9874.48,10111.64,10352.18,10597.52,10849.98,11110.83,11380.67,11657.65,11937.61,12214.95,12485.74,12747.83,13002.23,13252.03,13501.93,13755.14,14012.89,14273.50,14533.69,14788.87,15035.84,15272.82,15501.21,15724.64,15948.50,16176.28,16408.86,16643.96,16878.19,17106.75,17325.77,17535.73,17736.83,17924.83,18094.47,18242.92,18367.29,18470.90,18564.60,18663.29,18777.61,18911.73,19062.48,19224.04,19387.15,19544.99,19695.98,19842.04,19983.98,20123.51,20261.74,20398.50,20532.60,20663.05,20788.51,20908.02,21021.18,21128.03,21228.76,21323.73,21413.25
Burkina Faso,854,Country/Area,4284.46,4324.49,4367.14,4413.20,4463.17,4517.16,4574.95,4635.95,4699.35,4764.09,4829.29,4894.58,4960.33,5027.81,5098.89,5174.87,5256.36,5343.03,5434.05,5528.17,5624.59,5723.38,5825.17,5930.49,6040.05,6154.55,6274.03,6398.93,6530.82,6671.66,6822.84,6985.17,7158.26,7340.91,7531.24,7727.91,7930.69,8140.08,8356.31,8579.82,8811.03,9050.09,9297.11,9552.47,9816.58,10089.88,10372.73,10665.55,10968.72,11282.70,11607.95,11944.59,12293.10,12654.62,13030.58,13421.94,13829.17,14252.03,14689.73,15141.10,15605.21,16081.92,16571.25,17072.79,17586.03,18110.62,18646.35,19193.24,19751.47,20321.38,20903.28
Mali,466,Country/Area,4708.43,4759.04,4811.20,4864.75,4919.55,4975.40,5032.12,5089.51,5147.34,5205.45,5263.73,5322.27,5381.37,5441.62,5503.75,5568.50,5635.86,5706.19,5780.84,5861.42,5949.04,6044.52,6147.46,6256.19,6368.35,6482.28,6596.72,6712.27,6831.09,6956.41,7090.12,7234.73,7388.67,7545.16,7694.86,7831.89,7952.86,8062.22,8171.53,8296.92,8449.92,8635.53,8850.33,9087.17,9334.89,9585.66,9837.58,10094.36,10360.56,10642.94,10946.45,11271.60,11616.89,11982.69,12369.08,12775.51,13203.38,13651.46,14113.58,14581.43,15049.35,15514.59,15979.49,16449.85,16934.21,17438.77,17965.45,18512.43,19077.76,19658.02,20250.83
Romania,642,Country/Area,16236.29,16512.67,16764.91,17005.72,17243.81,17483.94,17726.63,17968.47,18202.72,18420.45,18613.95,18780.21,18924.15,19059.93,19207.14,19379.58,19582.33,19810.61,20055.98,20305.35,20548.91,20783.56,21011.15,21232.62,21450.41,21665.64,21879.08,22087.90,22285.51,22463.31,22615.64,22737.21,22830.55,22907.30,22983.96,23071.26,23175.06,23288.39,23393.74,23466.41,23489.16,23456.65,23375.83,23256.96,23115.81,22964.75,22805.71,22637.60,22466.29,22298.12,22137.42,21989.35,21853.28,21720.40,21577.89,21417.29,21234.31,21034.20,20829.52,20638.00,20471.86,20336.72,20227.47,20132.78,20035.93,19925.18,19796.28,19653.97,19506.11,19364.56,19237.68
Malawi,454,Country/Area,2953.87,3011.79,3072.39,3135.69,3201.72,3270.55,3342.25,3416.93,3494.69,3575.67,3659.98,3747.76,3839.05,3933.91,4032.36,4134.46,4240.43,4350.46,4464.43,4582.20,4703.78,4829.09,4958.56,5093.37,5235.07,5384.80,5545.65,5717.95,5896.86,6075.49,6250.43,6412.38,6565.99,6737.92,6964.61,7268.27,7666.39,8141.14,8636.69,9075.57,9404.50,9600.36,9685.97,9710.34,9745.70,9844.42,10022.78,10264.91,10552.35,10854.33,11148.75,11432.00,11713.66,12000.18,12301.84,12625.95,12973.69,13341.81,13727.90,14128.16,14539.61,14962.12,15396.01,15839.29,16289.55,16745.31,17205.25,17670.19,18143.22,18628.75,19129.96
Chile,152,Country/Area,6598.52,6729.58,6869.71,7016.47,7167.91,7322.66,7479.85,7639.21,7800.87,7965.32,8132.99,8303.80,8476.90,8650.39,8821.86,8989.61,9152.85,9312.09,9468.85,9625.30,9783.13,9942.72,10103.68,10265.83,10428.80,10592.31,10756.88,10922.78,11089.17,11254.88,11419.35,11582.02,11743.91,11907.96,12078.14,12257.24,12445.83,12642.92,12847.71,13058.76,13274.62,13495.26,13719.82,13944.93,14166.35,14380.86,14587.37,14786.23,14977.74,15162.80,15342.35,15516.11,15684.41,15849.65,16014.97,16182.71,16354.51,16530.20,16708.26,16886.18,17062.53,17233.58,17400.36,17571.51,17758.97,17969.36,18209.07,18470.44,18729.17,18952.04,19116.21
Kazakhstan,398,Country/Area,6703.00,6811.56,7006.64,7269.05,7582.30,7932.52,8308.59,8702.08,9106.90,9518.91,9934.56,10349.42,10756.93,11147.86,11511.86,11841.93,12132.56,12385.71,12611.43,12824.61,13036.14,13250.21,13463.99,13673.01,13869.98,14050.23,14212.15,14359.63,14499.96,14643.13,14796.18,14958.90,15128.09,15303.32,15483.41,15665.59,15852.52,16039.25,16206.00,16326.85,16383.88,16373.31,16302.81,16181.16,16022.22,15839.36,15631.93,15406.01,15190.17,15020.57,14922.72,14910.21,14976.18,15100.05,15250.02,15402.80,15551.26,15702.11,15862.13,16043.02,16252.27,16490.67,16751.52,17026.12,17302.62,17572.01,17830.90,18080.02,18319.62,18551.43,18776.71
Zambia,894,Country/Area,2310.44,2368.61,2431.34,2498.46,2569.75,2644.98,2723.87,2806.17,2891.58,2979.84,3070.78,3164.33,3260.65,3360.10,3463.21,3570.47,3681.95,3797.88,3918.87,4045.74,4179.06,4319.23,4466.17,4619.55,4778.72,4943.28,5112.82,5287.54,5468.26,5656.15,5851.82,6055.36,6265.87,6481.91,6701.55,6923.15,7146.97,7372.84,7598.27,7820.20,8036.85,8246.66,8451.35,8656.48,8869.75,9096.61,9339.74,9597.61,9866.47,10140.56,10415.94,10692.20,10971.70,11256.74,11550.64,11856.24,12173.52,12502.96,12848.53,13215.14,13605.99,14023.20,14465.15,14926.55,15399.79,15879.37,16363.45,16853.61,17351.71,17861.03,18383.96
Guatemala,320,Country/Area,3114.96,3212.33,3311.53,3413.16,3517.65,3625.31,3736.23,3850.44,3967.74,4087.92,4210.75,4336.13,4464.25,4595.51,4730.53,4869.71,5013.17,5160.62,5311.61,5465.52,5621.79,5780.48,5941.57,6104.53,6268.71,6433.72,6599.21,6765.52,6933.91,7106.14,7283.46,7466.48,7654.82,7847.47,8042.90,8240.06,8438.60,8639.11,8842.57,9050.46,9263.82,9483.27,9708.55,9938.70,10172.30,10408.49,10646.68,10887.64,11133.50,11387.21,11650.74,11924.94,12208.85,12500.48,12796.93,13096.03,13397.02,13700.33,14006.42,14316.25,14630.42,14948.79,15270.77,15595.82,15923.24,16252.43,16583.08,16914.98,17247.86,17581.48,17915.57
Ecuador,218,Country/Area,3470.16,3561.08,3654.72,3751.60,3852.13,3956.63,4065.33,4178.34,4295.75,4417.54,4543.66,4674.18,4809.19,4948.99,5093.85,5243.98,5399.42,5560.01,5725.46,5895.37,6069.38,6247.42,6429.38,6614.84,6803.27,6994.33,7187.79,7383.71,7582.36,7784.07,7989.18,8197.65,8409.40,8624.59,8843.46,9066.10,9292.48,9522.36,9755.58,9991.87,10230.93,10472.48,10716.13,10961.46,11208.00,11455.21,11703.17,11951.46,12198.45,12442.11,12681.12,12914.66,13143.47,13369.68,13596.39,13825.84,14059.38,14296.55,14535.74,14774.41,15011.11,15243.89,15474.10,15707.47,15951.83,16212.02,16491.12,16785.36,17084.36,17373.66,17643.06
